,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
112,03/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
113,03/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
114,03/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
115,03/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
116,03/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
117,03/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
118,03/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
119,03/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
120,03/31/2023,0,0,0,0,0,0,0.0,0,0,0,0
121,04/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
122,04/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
123,04/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
124,04/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
125,04/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
126,04/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
127,04/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
128,04/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
129,04/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
130,04/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
131,04/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
132,04/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
133,04/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
134,04/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
135,04/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
136,04/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
137,04/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
138,04/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
139,04/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
140,04/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
141,04/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
142,04/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
143,04/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
144,04/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
145,04/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
146,04/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
147,04/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
148,04/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
149,04/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
150,04/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
151,05/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
152,05/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
153,05/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
154,05/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
155,05/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
156,05/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
157,05/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
158,05/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
159,05/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
160,05/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
161,05/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
162,05/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
163,05/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
164,05/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
165,05/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
166,05/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
167,05/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
168,05/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
169,05/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
170,05/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
171,05/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
172,05/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
173,05/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
174,05/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
175,05/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
176,05/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
177,05/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
178,05/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
179,05/29/2023,0,0,0,0,0,0,0.0,0,0,0,0
180,05/30/2023,0,0,0,0,0,0,0.0,0,0,0,0
181,05/31/2023,0,0,0,0,0,0,0.0,0,0,0,0
182,06/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
183,06/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
184,06/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
185,06/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
186,06/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
187,06/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
188,06/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
189,06/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
190,06/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
191,06/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
192,06/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
193,06/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
194,06/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
195,06/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
196,06/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
197,06/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
198,06/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
199,06/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
200,06/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
201,06/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
202,06/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
203,06/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
204,06/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
205,06/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
206,06/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
207,06/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
208,06/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
