,date,school,work
334,7/7/2023,0,1
335,7/8/2023,0,0
336,7/9/2023,0,0
337,7/10/2023,0,1
338,7/11/2023,0,1
339,7/12/2023,0,1
340,7/13/2023,0,1
341,7/14/2023,0,1
342,7/15/2023,0,0
343,7/16/2023,0,0
344,7/17/2023,0,1
345,7/18/2023,0,1
346,7/19/2023,0,1
347,7/20/2023,0,1
348,7/21/2023,0,1
349,7/22/2023,0,0
350,7/23/2023,0,0
351,7/24/2023,0,1
352,7/25/2023,0,1
353,7/26/2023,0,1
354,7/27/2023,0,1
355,7/28/2023,0,1
356,7/29/2023,0,0
357,7/30/2023,0,0
358,7/31/2023,0,1
359,8/1/2023,0,1
360,8/2/2023,0,1
361,8/3/2023,0,1
362,8/4/2023,0,1
363,8/5/2023,0,0
364,8/6/2023,0,0
365,8/7/2023,0,1
366,8/8/2023,0,1
367,8/9/2023,0,1
368,8/10/2023,0,1
369,8/11/2023,0,1
370,8/12/2023,0,0
371,8/13/2023,0,0
372,8/14/2023,0,1
373,8/15/2023,0,1
374,8/16/2023,0,1
375,8/17/2023,0,1
376,8/18/2023,0,1
377,8/19/2023,0,0
378,8/20/2023,0,0
379,8/21/2023,0,1
380,8/22/2023,0,1
381,8/23/2023,0,1
382,8/24/2023,0,1
383,8/25/2023,0,1
384,8/26/2023,0,0
385,8/27/2023,0,0
386,8/28/2023,0,1
387,8/29/2023,0,1
388,8/30/2023,0,1
389,8/31/2023,0,1
390,9/1/2023,1,1
391,9/2/2023,1,0
392,9/3/2023,0,0
393,9/4/2023,0,1
394,9/5/2023,1,1
395,9/6/2023,1,1
396,9/7/2023,1,1
397,9/8/2023,1,1
398,9/9/2023,1,0
399,9/10/2023,0,0
400,9/11/2023,0,1
401,9/12/2023,1,1
402,9/13/2023,1,1
403,9/14/2023,1,1
404,9/15/2023,1,1
405,9/16/2023,0,0
406,9/17/2023,0,0
407,9/18/2023,1,1
408,9/19/2023,1,1
409,9/20/2023,1,1
410,9/21/2023,1,1
411,9/22/2023,1,1
412,9/23/2023,0,0
413,9/24/2023,0,0
414,9/25/2023,1,1
415,9/26/2023,1,1
416,9/27/2023,1,1
417,9/28/2023,1,1
418,9/29/2023,1,1
419,9/30/2023,0,0
420,10/1/2023,0,0
421,10/2/2023,1,1
422,10/3/2023,1,1
423,10/4/2023,1,1
424,10/5/2023,1,1
425,10/6/2023,1,1
426,10/7/2023,0,0
427,10/8/2023,0,0
428,10/9/2023,1,1
429,10/10/2023,1,1
430,10/11/2023,1,1
431,10/12/2023,1,1
432,10/13/2023,1,1
433,10/14/2023,0,0
434,10/15/2023,0,0
435,10/16/2023,1,1
436,10/17/2023,1,1
437,10/18/2023,1,1
438,10/19/2023,1,1
439,10/20/2023,1,1
440,10/21/2023,0,0
441,10/22/2023,0,0
442,10/23/2023,1,1
443,10/24/2023,1,1
444,10/25/2023,1,1
445,10/26/2023,1,1
446,10/27/2023,1,1
447,10/28/2023,0,0
448,10/29/2023,0,0
449,10/30/2023,1,1
450,10/31/2023,1,1
451,11/1/2023,1,1
452,11/2/2023,1,1
453,11/3/2023,1,1
454,11/4/2023,0,0
455,11/5/2023,0,0
456,11/6/2023,1,1
457,11/7/2023,1,1
458,11/8/2023,1,1
459,11/9/2023,1,1
460,11/10/2023,1,1
461,11/11/2023,0,0
462,11/12/2023,0,0
463,11/13/2023,1,1
464,11/14/2023,1,1
465,11/15/2023,1,1
466,11/16/2023,1,1
467,11/17/2023,1,1
468,11/18/2023,0,0
469,11/19/2023,0,0
470,11/20/2023,1,1
471,11/21/2023,1,1
472,11/22/2023,1,1
473,11/23/2023,1,1
474,11/24/2023,1,1
475,11/25/2023,0,0
476,11/26/2023,0,0
477,11/27/2023,1,1
478,11/28/2023,1,1
479,11/29/2023,1,1
480,11/30/2023,1,1
481,12/1/2023,1,1
482,12/2/2023,0,0
483,12/3/2023,0,0
484,12/4/2023,1,1
485,12/5/2023,1,1
486,12/6/2023,1,1
487,12/7/2023,1,1
488,12/8/2023,1,1
489,12/9/2023,0,0
490,12/10/2023,0,0
491,12/11/2023,1,1
492,12/12/2023,1,1
493,12/13/2023,1,1
