date,0_1,2_4,5_11,12_18,19_49,50_64,65+
7/6/23,332.136986,0,0,0,0,0,0
7/7/23,332.136986,0,0,0,0,0,0
7/8/23,332.136986,0,0,0,0,0,0
7/9/23,332.136986,0,0,0,0,0,0
7/10/23,332.136986,0,0,0,0,0,0
7/11/23,332.136986,0,0,0,0,0,0
7/12/23,332.136986,0,0,0,0,0,0
7/13/23,332.136986,0,0,0,0,0,0
7/14/23,332.136986,0,0,0,0,0,0
7/15/23,332.136986,0,0,0,0,0,0
7/16/23,332.136986,0,0,0,0,0,0
7/17/23,332.136986,0,0,0,0,0,0
7/18/23,332.136986,0,0,0,0,0,0
7/19/23,332.136986,0,0,0,0,0,0
7/20/23,332.136986,0,0,0,0,0,0
7/21/23,332.136986,0,0,0,0,0,0
7/22/23,332.136986,0,0,0,0,0,0
7/23/23,332.136986,0,0,0,0,0,0
7/24/23,332.136986,0,0,0,0,0,0
7/25/23,332.136986,0,0,0,0,0,0
7/26/23,332.136986,0,0,0,0,0,0
7/27/23,332.136986,0,0,0,0,0,0
7/28/23,332.136986,0,0,0,0,0,0
7/29/23,332.136986,0,0,0,0,0,0
7/30/23,332.136986,0,0,0,0,0,0
8/6/23,332.136986,0,0,0,0,0,0
8/7/23,332.136986,0,0,0,0,0,0
8/8/23,332.136986,0,0,0,0,0,0
8/9/23,332.136986,0,0,0,0,0,0
8/10/23,332.136986,0,0,0,0,0,0
8/11/23,332.136986,0,0,0,0,0,0
8/13/23,332.136986,0,0,0,0,10273.2189,43297.75445
8/14/23,332.136986,0,0,0,0,10273.2189,43297.75445
8/15/23,332.136986,0,0,0,0,10273.2189,43297.75445
8/16/23,332.136986,0,0,0,0,10273.2189,43297.75445
8/17/23,332.136986,0,0,0,0,10273.2189,43297.75445
8/18/23,332.136986,0,0,0,0,10273.2189,43297.75445
8/20/23,332.136986,0,0,0,0,18031.10507,100985.433
8/21/23,332.136986,0,0,0,0,18031.10507,100985.433
8/22/23,332.136986,0,0,0,0,18031.10507,100985.433
8/23/23,332.136986,0,0,0,0,18031.10507,100985.433
