,date,0_1,2_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
241,06/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
242,06/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
243,06/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
244,06/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
245,06/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
246,06/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
247,06/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
248,06/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
249,06/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
250,06/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
251,06/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
252,06/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
253,06/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
254,06/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
255,06/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
256,06/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
257,06/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
258,06/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
259,06/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
260,06/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
261,06/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
262,06/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
263,06/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
264,06/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
265,06/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
266,06/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
267,06/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
268,06/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
269,06/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
270,06/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
271,07/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
272,07/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
273,07/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
274,07/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
275,07/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
276,07/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
277,07/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
278,07/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
279,07/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
280,07/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
281,07/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
282,07/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
283,07/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
284,07/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
285,07/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
286,07/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
287,07/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
288,07/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
289,07/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
290,07/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
291,07/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
292,07/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
293,07/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
294,07/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
295,07/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
296,07/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
297,07/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
298,07/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
299,07/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
300,07/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
301,07/31/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
302,08/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
303,08/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
304,08/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
305,08/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
306,08/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
307,08/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
308,08/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
309,08/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
310,08/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
311,08/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
312,08/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
313,08/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
314,08/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
315,08/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
316,08/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
317,08/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
318,08/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
319,08/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
320,08/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
321,08/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
322,08/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
323,08/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
324,08/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
325,08/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
326,08/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
327,08/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
328,08/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
329,08/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
