,date,death
168,2023/01/23,38.857142857142854
169,2023/01/24,38.857142857142854
170,2023/01/25,38.857142857142854
171,2023/01/26,38.857142857142854
172,2023/01/27,38.857142857142854
173,2023/01/28,38.857142857142854
174,2023/01/29,38.857142857142854
175,2023/01/30,20.571428571428573
176,2023/01/31,20.571428571428573
177,2023/02/01,20.571428571428573
178,2023/02/02,20.571428571428573
179,2023/02/03,20.571428571428573
180,2023/02/04,20.571428571428573
181,2023/02/05,20.571428571428573
182,2023/02/06,16.142857142857142
183,2023/02/07,16.142857142857142
184,2023/02/08,16.142857142857142
185,2023/02/09,16.142857142857142
186,2023/02/10,16.142857142857142
187,2023/02/11,16.142857142857142
188,2023/02/12,16.142857142857142
189,2023/02/13,16.714285714285715
190,2023/02/14,16.714285714285715
191,2023/02/15,16.714285714285715
