,date,sero,sero1,sero2,sero12,sero45
155,2022-05-25,0.6356701463805982,0.4068997728297286,0.08614271198251962,0.021058232948001316,0.12241639582458108
156,2022-05-26,0.6346846833632482,0.4045494275771669,0.08668190793042709,0.0224890457801434,0.12186739805924963
157,2022-05-27,0.6323598697723302,0.4022126584511481,0.08668210769525314,0.023145673953213024,0.12124940264142814
158,2022-05-28,0.6300440332749669,0.39988938703289034,0.08666415693413951,0.023806509249719377,0.12064223640162838
159,2022-05-29,0.629069522182711,0.39757953535657625,0.08709346829005803,0.02527232848783583,0.12014741357948307
160,2022-05-30,0.6287621665872,0.3952830259067367,0.08771136762130755,0.02714994394302247,0.11972751479418627
161,2022-05-31,0.6284551150349118,0.3929997816156495,0.08828612139204164,0.02903574144033982,0.11933354006625155
162,2022-06-01,0.6274836969685547,0.39072972586075316,0.08861021747657681,0.0305153685408221,0.11890255950561983
163,2022-06-02,0.6245229492270655,0.38847278246207534,0.08829909875595104,0.030753332808868522,0.11828570292660318
164,2022-06-03,0.6235591856078508,0.38622887567967645,0.08855920537120107,0.032235169053338696,0.11790443619260543
165,2022-06-04,0.6225972980737358,0.38399793021110806,0.08878813085420913,0.033713462277636365,0.11754997104970413
166,2022-06-05,0.6209782209942336,0.3817798711888857,0.08880891386349637,0.03476904681008435,0.11713562660943488
167,2022-06-06,0.6233089169916098,0.3795746241779764,0.08983196896123287,0.03831580440567904,0.11731525716088187
168,2022-06-07,0.6236670032021266,0.37738211517330084,0.09030071717293559,0.04060110861551648,0.11725613474893115
169,2022-06-08,0.6207246474430405,0.3752022705972498,0.08993733909888839,0.04078386301461347,0.11669009630395413
170,2022-06-09,0.6210828158909407,0.37303501729721505,0.090325489366066,0.043032877647580486,0.11673228418254841
171,2022-06-10,0.6194681369046492,0.37088028254313427,0.09023952353178907,0.04402095358630491,0.11644360178122291
172,2022-06-11,0.6178581469855304,0.36873799402505053,0.09013531886464164,0.044991988562242374,0.11618445294399926
173,2022-06-12,0.618216406652049,0.3666080798506856,0.09041252122100142,0.0471558324020222,0.11639881439613994
174,2022-06-13,0.6179197872079906,0.3644904685430273,0.09052780596886405,0.048883038888211335,0.1165177571729356
175,2022-06-14,0.619587212365514,0.3623850890379309,0.09098162516578247,0.0517588814303304,0.11719907279914886
176,2022-06-15,0.6212577772497773,0.3602918706817341,0.09139363284408364,0.05458022372086096,0.11797278151953898
177,2022-06-16,0.6229314877728203,0.3582107432288865,0.09176526994135323,0.05734151832761073,0.11884265817821836
178,2022-06-17,0.62592711372163,0.35614163683959166,0.0923136510452969,0.060794120679152096,0.12022633442112982
179,2022-06-18,0.6289341164002962,0.3540844820774636,0.09281632493861196,0.06416499631648331,0.12174218255354562
180,2022-06-19,0.6326176678679103,0.3520392099071968,0.09337432792446464,0.0678129275446184,0.12363019988654302
181,2022-06-20,0.6376560462653302,0.35000575169224907,0.09407730586195283,0.07207669184510745,0.12617683287238826
182,2022-06-21,0.6413810720900073,0.3479840391925387,0.09454542223959507,0.07552044494104872,0.12838579220337817
183,2022-06-22,0.6437697199337508,0.34597400456215394,0.09479390442655684,0.07816604811352132,0.13019364686277454
184,2022-06-23,0.645485819974604,0.34397558034707654,0.09492297609010353,0.08037639931946498,0.13183588999499088
185,2022-06-24,0.648567102326762,0.3419886994829178,0.09518388626328621,0.08313467203485389,0.13422700781918032
186,2022-06-25,0.6530279376875455,0.34001329529266827,0.09556464133532608,0.08639816998268976,0.13743632327834912
187,2022-06-26,0.6568260596415703,0.3380493014844599,0.09583140752992574,0.08921996688243986,0.14048903328212184
188,2022-06-27,0.6578749118785477,0.3360966521493414,0.09577736910077764,0.09074292464586443,0.14224763573487945
189,2022-06-28,0.661003245282528,0.33415528175906684,0.09590544557773065,0.09301023449246751,0.14525844899422952
190,2022-06-29,0.6599684682545347,0.3322251251638959,0.09561235355702698,0.09354403019070176,0.14602091609503196
191,2022-06-30,0.6617150702000919,0.3303061175904082,0.09555656479824932,0.09504209530736502,0.14849787882567436
192,2022-07-01,0.666947527765353,0.32839819463932907,0.09577509884638459,0.09765030979909185,0.15324395306366728
193,2022-07-02,0.6708118398926524,0.3265012922833688,0.09584733121078919,0.09963923325442746,0.15729738796752768
194,2022-07-03,0.6732840822951252,0.3246153468650739,0.09578358771097374,0.10105186347959971,0.16058134546826588
195,2022-07-04,0.6736405781812735,0.32274029509469043,0.09554231718605198,0.10172479099652805,0.16254303053708397
196,2022-07-05,0.6768287861255327,0.3208760740480407,0.095485678405036,0.10311325191141965,0.16655877474086592
197,2022-07-06,0.6807400854269783,0.31902262116441116,0.0954548415017082,0.10457242566792004,0.17121616438644105
198,2022-07-07,0.6889583512086548,0.3171798742444532,0.09567327754458069,0.10696765655710809,0.17917541447831717
199,2022-07-08,0.6936499248874486,0.3153477714480957,0.09564333474237283,0.1083572690692435,0.184675356929938
200,2022-07-09,0.6932786848725427,0.3135262512924698,0.09529933945459915,0.10851941987865253,0.18640808563612007
201,2022-07-10,0.6987216711990917,0.3117152526498456,0.0952641301623271,0.10980701057612562,0.1927540135587914
202,2022-07-11,0.7005412446162576,0.30991471474558085,0.09501756879590165,0.11028025890230245,0.1963280670168194
203,2022-07-12,0.7045653009549072,0.3081245771560814,0.09486674497778097,0.11106598223275228,0.20176804050711797
204,2022-07-13,0.707870954208725,0.3063447798067734,0.09466458851376364,0.11163460520365759,0.2067082660242309
205,2022-07-14,0.7111891616080571,0.30457526297008736,0.09444793157766138,0.11211953325364087,0.2117388430615982
206,2022-07-15,0.7115444512676538,0.30281596726345383,0.09409146917899287,0.11210394614403936,0.21431906867992148
207,2022-07-16,0.7111555095757643,0.3010668336473105,0.09369780195754607,0.11194507833835005,0.21629304216589335
208,2022-07-17,0.7115108003062458,0.299327803423121,0.09332735041645984,0.11184141551400566,0.21894221194868016
209,2022-07-18,0.714842831042162,0.2975988182314048,0.09305883070885207,0.11203323448082057,0.2242499799811521
210,2022-07-19,0.716692760266549,0.29587982004977925,0.09272782956545278,0.11200847348452891,0.22828904926353238
211,2022-07-20,0.7230410671090414,0.2941707511910118,0.09253638054019064,0.11236997172617508,0.23641578564552118
212,2022-07-21,0.7279273410944057,0.29247155430108474,0.09228437043640869,0.11252521989452662,0.2432827160661434
213,2022-07-22,0.7313217182490388,0.2907821723572699,0.091976308930265,0.11249725765513657,0.24883552297237088
214,2022-07-23,0.7354921413177316,0.28910254866621543,0.09168109806002749,0.11248073209479212,0.2551412878274144
215,2022-07-24,0.7404495430844809,0.2874326268620431,0.09139737616190939,0.11247063686828387,0.2622161356336638
216,2022-07-25,0.7454352644149234,0.2857723509044567,0.09110435160156205,0.11241336095781158,0.26935644752444693
217,2022-07-26,0.74734279855229,0.2841216650768616,0.09072773659954829,0.11212957903831174,0.2736393577142364
218,2022-07-27,0.7484754311284187,0.28248051398449475,0.09032827354301717,0.11177666680433426,0.2772065373822078
219,2022-07-28,0.7511682676275938,0.28084884255256576,0.08995882879795493,0.1114797951621868,0.28226501461135095
220,2022-07-29,0.7546509087201481,0.2792265960244088,0.0896004052630565,0.11119301102119224,0.2880914831247222
221,2022-07-30,0.7620742271090586,0.2776137199596449,0.08931337583326424,0.11104472228891532,0.29770590937429414
222,2022-07-31,0.7663908839302321,0.27601016023235503,0.08895940748355106,0.11073879957596826,0.3043630170844191
223,2022-08-01,0.7683378770613933,0.27441586302926374,0.08855792493713434,0.11032418074439218,0.3087497158613566
224,2022-08-02,0.7718857245620928,0.2728307748479333,0.0881800261714367,0.1099455246623293,0.3146892463851684
225,2022-08-03,0.7778530184771763,0.271254842494968,0.08783626388285799,0.10962001289033242,0.3229828564319383
226,2022-08-04,0.7846678180531036,0.2696880130842295,0.08749935147070452,0.10929458290209365,0.33211261901877087
227,2022-08-05,0.7899061399015792,0.26813023403506164,0.08713371119958184,0.10890696830645002,0.3397177697359028
