,date,school,work,,,,
283,7/12/23,0,1,,,,
284,7/13/23,0,1,,,,
285,7/14/23,0,1,,,,
286,7/15/23,0,0,,,,
287,7/16/23,0,0,,,,
288,7/17/23,0,1,,,,
289,7/18/23,0,1,,,,
290,7/19/23,0,1,,,,
291,7/20/23,0,1,,,,
292,7/21/23,0,1,,,,
293,7/22/23,0,0,,,,
294,7/23/23,0,0,,,,
295,7/24/23,0,1,,,,
296,7/25/23,0,1,,,,
297,7/26/23,0,1,,,,
298,7/27/23,0,1,,,,
299,7/28/23,0,1,,,,
300,7/29/23,0,0,,,,
301,7/30/23,0,0,,,,
302,7/31/23,0,1,,,,
303,8/1/23,0,1,,,,
304,8/2/23,0,1,,,,
305,8/3/23,0,1,,,,
306,8/4/23,0,1,,,,
307,8/5/23,0,0,,,,
308,8/6/23,0,0,,,,
309,8/7/23,0,1,,,,
310,8/8/23,0,1,,,,
311,8/9/23,0,1,,,,
312,8/10/23,0,1,,,,
313,8/11/23,0,1,,,,
314,8/12/23,0,1,,,,
315,8/13/23,0,0,,,,
316,8/14/23,0,0,,,,
317,8/15/23,0,1,,,,
318,8/16/23,0,1,,,,
319,8/17/23,0,1,,,,
320,8/18/23,0,1,,,,
321,8/19/23,0,1,,,,
322,8/20/23,0,0,,,,
323,8/21/23,0,0,,,,
324,8/22/23,0,1,,,,
325,8/23/23,0,1,,,,
326,8/24/23,0,1,,,,
327,8/25/23,0,1,,,,
328,8/26/23,0,1,,,,
329,8/27/23,0,0,,,,
330,8/28/23,0,0,,,,
331,8/29/23,0,1,,,,
332,8/30/23,0,1,,,,
333,8/31/23,0,1,,,,
334,9/1/23,1,1,,,,
335,9/2/23,1,1,,,,
336,9/3/23,0,0,,,,
337,9/4/23,0,0,,,,
338,9/5/23,1,1,,,,
339,9/6/23,1,1,,,,
340,9/7/23,1,1,,,,
341,9/8/23,1,1,,,,
342,9/9/23,1,1,,,,
343,9/10/23,0,0,,,,
344,9/11/23,0,0,,,,
345,9/12/23,1,1,,,,
